outlier_col_canon,outlier_col_name,n_outliers
shp,shp,213
blocks,blocks,137
ota,ota,128
shg,shg,84
hits,hits,77
sha,sha,64
ppg,ppg,61
pim,pim,58
a,a,51
fow,fow,51
otg,otg,50
pts,pts,49
gwg,gwg,49
ppa,ppa,48
g,g,47
esp,esp,47
a_pergp,a_pergp,45
shots,shots,42
p_pergp,p_pergp,38
esa,esa,37
esg,esg,36
gwa,gwa,35
a_per60,a_per60,33
g_pergp,g_pergp,31
gwp,gwp,31
esa_per60,esa_per60,29
ppp,ppp,28
p_per60,p_per60,27
ppg_per60,ppg_per60,25
ppa_per60,ppa_per60,22
otp,otp,21
esp_per60,esp_per60,19
ppp_per60,ppp_per60,17
pm,pm,16
fo_pct,fo_pct,15
g_per60,g_per60,12
esg_per60,esg_per60,9
gp,gp,5
sh_pct,sh_pct,4
fol,fol,3
ppp_pct,ppp_pct,2
